"start_borough","end_borough","hour","total_num_trips"
"Brooklyn","Brooklyn","0","2118"
"Brooklyn","Brooklyn","1","1465"
"Brooklyn","Brooklyn","2","1060"
"Brooklyn","Brooklyn","3","629"
"Brooklyn","Brooklyn","4","491"
"Brooklyn","Brooklyn","5","1254"
"Brooklyn","Brooklyn","6","3922"
"Brooklyn","Brooklyn","7","9420"
"Brooklyn","Brooklyn","8","16411"
"Brooklyn","Brooklyn","9","12739"
"Brooklyn","Brooklyn","10","9582"
"Brooklyn","Brooklyn","11","10236"
"Brooklyn","Brooklyn","12","11495"
"Brooklyn","Brooklyn","13","11634"
"Brooklyn","Brooklyn","14","12328"
"Brooklyn","Brooklyn","15","12697"
"Brooklyn","Brooklyn","16","13401"
"Brooklyn","Brooklyn","17","15938"
"Brooklyn","Brooklyn","18","17117"
"Brooklyn","Brooklyn","19","13444"
"Brooklyn","Brooklyn","20","8968"
"Brooklyn","Brooklyn","21","6439"
"Brooklyn","Brooklyn","22","4954"
"Brooklyn","Brooklyn","23","3213"
"Brooklyn","Manhattan","0","86"
"Brooklyn","Manhattan","1","66"
"Brooklyn","Manhattan","2","31"
"Brooklyn","Manhattan","3","29"
"Brooklyn","Manhattan","4","16"
"Brooklyn","Manhattan","5","110"
"Brooklyn","Manhattan","6","442"
"Brooklyn","Manhattan","7","1386"
"Brooklyn","Manhattan","8","3612"
"Brooklyn","Manhattan","9","2408"
"Brooklyn","Manhattan","10","941"
"Brooklyn","Manhattan","11","810"
"Brooklyn","Manhattan","12","819"
"Brooklyn","Manhattan","13","761"
"Brooklyn","Manhattan","14","876"
"Brooklyn","Manhattan","15","847"
"Brooklyn","Manhattan","16","838"
"Brooklyn","Manhattan","17","1017"
"Brooklyn","Manhattan","18","762"
"Brooklyn","Manhattan","19","428"
"Brooklyn","Manhattan","20","319"
"Brooklyn","Manhattan","21","255"
"Brooklyn","Manhattan","22","207"
"Brooklyn","Manhattan","23","148"
"Brooklyn","Queens","0","36"
"Brooklyn","Queens","1","19"
"Brooklyn","Queens","2","13"
"Brooklyn","Queens","3","10"
"Brooklyn","Queens","4","10"
"Brooklyn","Queens","5","24"
"Brooklyn","Queens","6","94"
"Brooklyn","Queens","7","238"
"Brooklyn","Queens","8","457"
"Brooklyn","Queens","9","290"
"Brooklyn","Queens","10","158"
"Brooklyn","Queens","11","127"
"Brooklyn","Queens","12","163"
"Brooklyn","Queens","13","172"
"Brooklyn","Queens","14","171"
"Brooklyn","Queens","15","182"
"Brooklyn","Queens","16","196"
"Brooklyn","Queens","17","230"
"Brooklyn","Queens","18","210"
"Brooklyn","Queens","19","162"
"Brooklyn","Queens","20","108"
"Brooklyn","Queens","21","94"
"Brooklyn","Queens","22","73"
"Brooklyn","Queens","23","63"
"Manhattan","Brooklyn","0","191"
"Manhattan","Brooklyn","1","118"
"Manhattan","Brooklyn","2","82"
"Manhattan","Brooklyn","3","41"
"Manhattan","Brooklyn","4","28"
"Manhattan","Brooklyn","5","69"
"Manhattan","Brooklyn","6","88"
"Manhattan","Brooklyn","7","214"
"Manhattan","Brooklyn","8","530"
"Manhattan","Brooklyn","9","441"
"Manhattan","Brooklyn","10","489"
"Manhattan","Brooklyn","11","528"
"Manhattan","Brooklyn","12","679"
"Manhattan","Brooklyn","13","814"
"Manhattan","Brooklyn","14","796"
"Manhattan","Brooklyn","15","994"
"Manhattan","Brooklyn","16","1383"
"Manhattan","Brooklyn","17","2729"
"Manhattan","Brooklyn","18","2670"
"Manhattan","Brooklyn","19","1393"
"Manhattan","Brooklyn","20","941"
"Manhattan","Brooklyn","21","644"
"Manhattan","Brooklyn","22","478"
"Manhattan","Brooklyn","23","303"
"Manhattan","Hudson County","9","1"
"Manhattan","Hudson County","10","1"
"Manhattan","Manhattan","0","6769"
"Manhattan","Manhattan","1","3795"
"Manhattan","Manhattan","2","2356"
"Manhattan","Manhattan","3","1505"
"Manhattan","Manhattan","4","1881"
"Manhattan","Manhattan","5","7487"
"Manhattan","Manhattan","6","23882"
"Manhattan","Manhattan","7","50332"
"Manhattan","Manhattan","8","90150"
"Manhattan","Manhattan","9","65505"
"Manhattan","Manhattan","10","42451"
"Manhattan","Manhattan","11","44779"
"Manhattan","Manhattan","12","51813"
"Manhattan","Manhattan","13","54468"
"Manhattan","Manhattan","14","57063"
"Manhattan","Manhattan","15","61129"
"Manhattan","Manhattan","16","70807"
"Manhattan","Manhattan","17","96866"
"Manhattan","Manhattan","18","86562"
"Manhattan","Manhattan","19","57124"
"Manhattan","Manhattan","20","37516"
"Manhattan","Manhattan","21","25351"
"Manhattan","Manhattan","22","17891"
"Manhattan","Manhattan","23","11398"
"Manhattan","Queens","0","32"
"Manhattan","Queens","1","30"
"Manhattan","Queens","2","11"
"Manhattan","Queens","3","7"
"Manhattan","Queens","4","7"
"Manhattan","Queens","5","6"
"Manhattan","Queens","6","17"
"Manhattan","Queens","7","85"
"Manhattan","Queens","8","110"
"Manhattan","Queens","9","116"
"Manhattan","Queens","10","45"
"Manhattan","Queens","11","81"
"Manhattan","Queens","12","99"
"Manhattan","Queens","13","113"
"Manhattan","Queens","14","117"
"Manhattan","Queens","15","154"
"Manhattan","Queens","16","233"
"Manhattan","Queens","17","414"
"Manhattan","Queens","18","413"
"Manhattan","Queens","19","200"
"Manhattan","Queens","20","129"
"Manhattan","Queens","21","101"
"Manhattan","Queens","22","105"
"Manhattan","Queens","23","90"
"Queens","Brooklyn","0","33"
"Queens","Brooklyn","1","19"
"Queens","Brooklyn","2","12"
"Queens","Brooklyn","3","11"
"Queens","Brooklyn","4","11"
"Queens","Brooklyn","5","11"
"Queens","Brooklyn","6","69"
"Queens","Brooklyn","7","75"
"Queens","Brooklyn","8","124"
"Queens","Brooklyn","9","98"
"Queens","Brooklyn","10","141"
"Queens","Brooklyn","11","138"
"Queens","Brooklyn","12","161"
"Queens","Brooklyn","13","219"
"Queens","Brooklyn","14","198"
"Queens","Brooklyn","15","228"
"Queens","Brooklyn","16","311"
"Queens","Brooklyn","17","496"
"Queens","Brooklyn","18","399"
"Queens","Brooklyn","19","255"
"Queens","Brooklyn","20","177"
"Queens","Brooklyn","21","106"
"Queens","Brooklyn","22","106"
"Queens","Brooklyn","23","68"
"Queens","Manhattan","0","8"
"Queens","Manhattan","1","19"
"Queens","Manhattan","2","3"
"Queens","Manhattan","3","9"
"Queens","Manhattan","4","12"
"Queens","Manhattan","5","29"
"Queens","Manhattan","6","90"
"Queens","Manhattan","7","229"
"Queens","Manhattan","8","454"
"Queens","Manhattan","9","262"
"Queens","Manhattan","10","153"
"Queens","Manhattan","11","105"
"Queens","Manhattan","12","97"
"Queens","Manhattan","13","130"
"Queens","Manhattan","14","153"
"Queens","Manhattan","15","146"
"Queens","Manhattan","16","140"
"Queens","Manhattan","17","190"
"Queens","Manhattan","18","129"
"Queens","Manhattan","19","56"
"Queens","Manhattan","20","39"
"Queens","Manhattan","21","46"
"Queens","Manhattan","22","35"
"Queens","Manhattan","23","14"
"Queens","Queens","0","253"
"Queens","Queens","1","150"
"Queens","Queens","2","87"
"Queens","Queens","3","84"
"Queens","Queens","4","75"
"Queens","Queens","5","280"
"Queens","Queens","6","591"
"Queens","Queens","7","1273"
"Queens","Queens","8","1827"
"Queens","Queens","9","1438"
"Queens","Queens","10","1006"
"Queens","Queens","11","1148"
"Queens","Queens","12","1320"
"Queens","Queens","13","1459"
"Queens","Queens","14","1455"
"Queens","Queens","15","1520"
"Queens","Queens","16","1695"
"Queens","Queens","17","1974"
"Queens","Queens","18","1940"
"Queens","Queens","19","1537"
"Queens","Queens","20","1172"
"Queens","Queens","21","753"
"Queens","Queens","22","641"
"Queens","Queens","23","486"
